datetime,carbon_intensity,SMR,SMR-CCS,AE operation,PEM operation,SOEC operation,MP-E
2023-01-15 00:00:00,56.0,10.672650629824606,3.1279082877608033,5.459769233632917,5.696786198534664,6.033859196905024,3.512485237876355
2023-01-15 00:30:00,57.0,10.671749077139356,3.12786730809357,5.502224167629184,5.7410442384876506,6.0685279942428965,3.52091885323613
2023-01-15 01:00:00,55.0,10.67528740054507,3.128028140974559,5.335601307861856,5.567344729608153,5.932463381408071,3.4878194469445765
2023-01-15 01:30:00,55.0,10.675891008282555,3.128055577689714,5.307176871804321,5.537713077683171,5.909251921152152,3.482172971070915
2023-01-15 02:00:00,65.0,10.664146533503716,3.1275217379306546,5.860234845802066,6.114260008875229,6.360880342440184,3.5920371914407805
2023-01-15 02:30:00,65.0,10.663360982845598,3.1274860310828005,5.897227139083305,6.152823403983499,6.39108833473015,3.5993856605925028
2023-01-15 03:00:00,70.0,10.656416041657604,3.1271703519400287,6.224270721303427,6.4937568730954345,6.658152880717623,3.6643524269657672
2023-01-15 03:30:00,74.0,10.65224564785558,3.1269807885866747,6.4206583495589395,6.698485291666727,6.818523472372627,3.7033645643600046
2023-01-15 04:00:00,66.0,10.66435117737295,3.127531039924648,5.850597980310758,6.104213855512389,6.353010855781228,3.5901228411126263
2023-01-15 04:30:00,66.0,10.664703689393063,3.12754706319818,5.833997869422504,6.08690872035469,6.339455166818863,3.586825251480911
2023-01-15 05:00:00,66.0,10.662910142707926,3.1274655383494077,5.918457610248141,6.174955555716832,6.408425186608568,3.603603065046055
2023-01-15 05:30:00,65.0,10.666005380313486,3.1276062309668897,5.772700062855879,6.0230075311008235,6.289399236139492,3.5746485249071207
2023-01-15 06:00:00,65.0,10.665622039956853,3.1275888064053428,5.790751908083945,6.041826057291419,6.304140414722917,3.5782344996068134
2023-01-15 06:30:00,66.0,10.662656959145972,3.1274540300057607,5.9303802539133486,6.187384566670574,6.418161245013393,3.60597148212457
2023-01-15 07:00:00,60.0,10.665499655699536,3.1275832434845925,5.7965150938094165,6.047834011611097,6.308846645521778,3.5793793486757077
2023-01-15 07:30:00,68.0,10.65213228056652,3.126975635528117,6.42599691806733,6.704050594826941,6.822882959769498,3.704425063791604
2023-01-15 08:00:00,69.0,10.643828972110924,3.1265982124190552,6.817007247469897,7.1116675465397945,7.142182899518879,3.782098738191156
2023-01-15 08:30:00,74.0,10.634260001915285,3.1261632592312907,7.267618736642647,7.581416982325873,7.51015328424778,3.8716121025674375
2023-01-15 09:00:00,63.0,10.650823380696185,3.1269161400798677,6.487634200626528,6.768305677977897,6.873216107329914,3.7166692268133104
2023-01-15 09:30:00,62.0,10.646820110233508,3.126734173241888,6.676151839188337,6.964829860068122,7.027160047190666,3.754118001372784
2023-01-15 10:00:00,59.0,10.653045441487501,3.127017142842426,6.382995341717405,6.6592226960412875,6.787767773020752,3.695882858665782
2023-01-15 10:30:00,66.0,10.643622208101833,3.1265888140550686,6.8267439522705144,7.121817779493025,7.150133915188835,3.7840329214634076
2023-01-15 11:00:00,67.0,10.6376180868505,3.1263158994545837,7.109483469995557,7.41656554362482,7.3810196595943935,3.8401987451980832
2023-01-15 11:30:00,72.0,10.627757066389572,3.1258676712548503,7.573847871160305,7.900651992123374,7.760220704078843,3.9324441069866687
2023-01-15 12:00:00,80.0,10.61346631378968,3.12521809159562,8.246812378184456,8.602198013639615,8.309765077688098,4.0661275983688965
2023-01-15 12:30:00,87.0,10.608016799405977,3.1249703863980374,8.50343495527549,8.869719623041513,8.519323667939906,4.117105327082608
2023-01-15 13:00:00,92.0,10.601737483965147,3.1246849629708424,8.79913361708817,9.17797691981886,8.760791879393608,4.175845467306307
2023-01-15 13:30:00,97.0,10.59404055139161,3.1243351024016874,9.161589155993072,9.555826328875636,9.056773911149635,4.247846771098538
2023-01-15 14:00:00,105.0,10.581829590406027,3.1237800587242837,9.73661438874501,10.155273491538694,9.526340846766406,4.3620747577825325
