datetime,carbon_intensity,custom_electricity_score,custom_electricity_input_kwh_per_kwh,api_scope,api_region_id,api_region_name,wind_lat,wind_lon,api_total_perc,carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index,REP_SEASON,REP_KIND,REP_DATE,REP_TARGET_WIND_PCT,API_ROW_COUNT,api_gas,api_coal,api_biomass,api_nuclear,api_hydro,api_imports,api_other,api_wind,api_solar,api_storage,GAS_perc,COAL_perc,NUCLEAR_perc,WIND_perc,WIND_EMB_perc,HYDRO_perc,IMPORTS_perc,BIOMASS_perc,OTHER_perc,SOLAR_perc,STORAGE_perc,PEM operation
2025-12-05 12:00:00,176.8125,0.2859524836657429,1.031728662401348,regional_auto,13,London,51.73199999999999,-0.3711,100.00833333333333,176.8125,,high,winter,average,2025-12-05,28.481590807862784,48,42.1625,0.0,1.8666666666666665,9.5,0.12708333333333333,15.94375,0.0,28.61041666666667,1.7979166666666666,0.0,42.1625,0.0,9.5,28.61041666666667,0.0,0.12708333333333333,15.94375,1.8666666666666665,0.0,1.7979166666666666,0.0,15.894904365821686
2025-02-21 12:00:00,90.60416666666667,0.1417205295050076,1.031599707064826,regional_auto,13,London,51.73199999999999,-0.3711,99.99583333333334,90.60416666666667,,moderate,winter,top10,2025-02-21,51.559953703703705,48,17.931250000000002,0.0,1.0,15.095833333333333,0.09999999999999999,12.097916666666668,0.0,51.93541666666667,1.8354166666666665,0.0,17.931250000000002,0.0,15.095833333333333,51.93541666666667,0.0,0.09999999999999999,12.097916666666668,1.0,0.0,1.8354166666666665,0.0,8.10637884114198
2025-01-19 12:00:00,286.8541666666667,0.4324438577554478,1.0312128410552595,regional_auto,13,London,51.73199999999999,-0.3711,99.95833333333333,286.8541666666667,,very high,winter,bottom10,2025-01-19,6.597453703703703,48,68.72708333333334,0.0,3.7937500000000006,6.602083333333333,0.12708333333333333,14.910416666666668,0.0,5.497916666666666,0.3,0.0,68.72708333333334,0.0,6.602083333333333,5.497916666666666,0.0,0.12708333333333333,14.910416666666668,3.7937500000000006,0.0,0.3,0.0,23.80543856666575
2025-03-15 12:00:00,142.375,0.2515811952793351,1.031793140069609,regional_auto,13,London,51.73199999999999,-0.3711,100.01458333333335,142.375,,moderate,spring,average,2025-03-15,19.46292040800252,48,23.447916666666668,0.0,0.0,3.4479166666666665,0.1729166666666667,49.58958333333334,0.0,19.33125,4.0249999999999995,0.0,23.447916666666668,0.0,3.4479166666666665,19.33125,0.0,0.1729166666666667,49.58958333333334,0.0,0.0,4.0249999999999995,0.0,14.038854792955664
2025-04-16 12:00:00,78.5625,0.14644864157458196,1.0315567219526518,regional_auto,13,London,51.73199999999999,-0.3711,99.99166666666667,78.5625,,low,spring,top10,2025-04-16,44.016666666666666,48,17.145833333333332,0.0,1.25,12.820833333333335,0.12291666666666667,14.133333333333335,0.0,45.647916666666674,8.870833333333332,0.0,17.145833333333332,0.0,12.820833333333335,45.647916666666674,0.0,0.12291666666666667,14.133333333333335,1.25,0.0,8.870833333333332,0.0,8.361696892898994
2025-03-03 12:00:00,215.83333333333334,0.3354631528105534,1.0316426921769999,regional_auto,13,London,51.73199999999999,-0.3711,100.0,215.83333333333334,,high,spring,bottom10,2025-03-03,4.741458333333333,48,44.31458333333334,0.0,2.6958333333333333,9.237499999999999,0.19375,32.71041666666667,0.0,4.954166666666667,5.893750000000001,0.0,44.31458333333334,0.0,9.237499999999999,4.954166666666667,0.0,0.19375,32.71041666666667,2.6958333333333333,0.0,5.893750000000001,0.0,18.56848049964145
2025-08-29 12:00:00,103.41666666666667,0.2126013565420437,1.031470751728304,regional_auto,13,London,51.73199999999999,-0.3711,99.98333333333333,103.41666666666667,,low,summer,average,2025-08-29,20.367001811594204,48,14.883333333333335,0.0,0.024999999999999998,5.6875,0.2125,53.79375000000001,0.0,20.620833333333334,4.760416666666667,0.0,14.883333333333335,0.0,5.6875,20.620833333333334,0.0,0.2125,53.79375000000001,0.024999999999999998,0.0,4.760416666666667,0.0,11.93394350114193
2025-08-31 12:00:00,40.979166666666664,0.09294625030720458,1.031879110293957,regional_auto,13,London,51.73199999999999,-0.3711,100.02291666666667,40.979166666666664,,very low,summer,top10,2025-08-31,45.857708333333335,48,8.591666666666667,0.0,1.4604166666666665,20.164583333333336,0.11666666666666665,9.90625,0.0,45.518750000000004,14.264583333333333,0.0,8.591666666666667,0.0,20.164583333333336,45.518750000000004,0.0,0.11666666666666665,9.90625,1.4604166666666665,0.0,14.264583333333333,0.0,5.472567764460617
2025-07-10 12:00:00,149.20833333333334,0.2725967923412018,1.031664184733087,regional_auto,13,London,51.73199999999999,-0.3711,100.00208333333332,149.20833333333334,,high,summer,bottom10,2025-07-10,4.69375,48,31.458333333333332,0.0,3.2541666666666664,11.352083333333333,0.1708333333333333,34.19166666666667,0.0,4.670833333333333,14.904166666666667,0.0,31.458333333333332,0.0,11.352083333333333,4.670833333333333,0.0,0.1708333333333333,34.19166666666667,3.2541666666666664,0.0,14.904166666666667,0.0,15.173697034296469
2025-09-24 12:00:00,153.58333333333334,0.23631374943651162,1.031728662401348,regional_auto,13,London,51.73199999999999,-0.3711,100.00833333333333,153.58333333333334,,moderate,autumn,average,2025-09-24,32.648305860805856,48,30.33125,0.0,0.09999999999999999,7.270833333333333,0.20833333333333334,22.756249999999998,0.0,32.87708333333333,6.464583333333334,0.0,30.33125,0.0,7.270833333333333,32.87708333333333,0.0,0.20833333333333334,22.756249999999998,0.09999999999999999,0.0,6.464583333333334,0.0,13.214412717443198
2025-11-29 12:00:00,58.458333333333336,0.10011499191438059,1.0314922442843908,regional_auto,13,London,51.73199999999999,-0.3711,99.98541666666665,58.458333333333336,,low,autumn,top10,2025-11-29,56.675625000000004,48,8.012500000000001,0.0,0.7791666666666668,15.120833333333332,0.12083333333333333,19.320833333333333,0.0,56.09791666666667,0.5333333333333333,0.0,8.012500000000001,0.0,15.120833333333332,56.09791666666667,0.0,0.12083333333333333,19.320833333333333,0.7791666666666668,0.0,0.5333333333333333,0.0,5.859679811248121
