datetime,carbon_intensity,custom_electricity_score,custom_electricity_input_kwh_per_kwh,REP_SEASON,REP_KIND,AE operation
2023-02-15 00:00:00,133.0,0.19596190107850817,1.032674334869177,Winter,avg,10.333027761212488
2023-02-15 00:30:00,137.0,0.20018817123294583,1.0306110494848228,Winter,avg,10.551948555212359
2023-02-15 01:00:00,136.0,0.20137067812990617,1.0306110494848228,Winter,avg,10.613202412474905
2023-02-15 01:30:00,133.0,0.19806962732787095,1.0306110494848228,Winter,avg,10.44220798092948
2023-02-15 02:00:00,133.0,0.19926251950529994,1.033705977561354,Winter,avg,10.503999795720302
2023-02-15 02:30:00,138.0,0.2053477904442112,1.0306110494848228,Winter,avg,10.819216830355906
2023-02-15 03:00:00,143.0,0.21252017314900792,1.0316426921769999,Winter,avg,11.190746254464376
2023-02-15 03:30:00,140.0,0.20704340425323509,1.0316426921769999,Winter,avg,10.907049625663342
2023-02-15 04:00:00,144.0,0.21218601508399423,1.0306110494848226,Winter,avg,11.173436866696667
2023-02-15 04:30:00,143.0,0.20995071187318814,1.0306110494848228,Winter,avg,11.05764816037691
2023-02-15 05:00:00,153.0,0.21972742189723973,1.0316426921769999,Winter,avg,11.564081739622782
2023-02-15 05:30:00,160.0,0.2304690018649594,1.031642692177,Winter,avg,12.120495581950662
2023-02-15 06:00:00,164.0,0.2454956348803819,1.032674334869177,Winter,avg,12.898875172149546
2023-02-15 06:30:00,177.0,0.26582109867951115,1.0316426921769999,Winter,avg,13.951734196944443
2023-02-15 07:00:00,182.0,0.2808045213546936,1.0306110494848228,Winter,avg,14.727875491518892
2023-02-15 07:30:00,186.0,0.29108201997999567,1.0306110494848228,Winter,avg,15.26024992030954
2023-02-15 08:00:00,180.0,0.26862616203044126,1.0316426921769999,Winter,avg,14.097036478522622
2023-02-15 08:30:00,178.0,0.26549881497475086,1.0316426921769999,Winter,avg,13.93503990103786
2023-02-15 09:00:00,172.0,0.2576381613967995,1.030611049484823,Winter,avg,13.527858045699979
2023-02-15 09:30:00,170.0,0.2557267200244213,1.031642692177,Winter,avg,13.42884538261079
2023-02-15 10:00:00,170.0,0.25583445928446036,1.032674334869177,Winter,avg,13.434426276280812
2023-02-15 10:30:00,161.0,0.2456552592993348,1.032674334869177,Winter,avg,12.907143717051307
2023-02-15 11:00:00,161.0,0.2449355587723005,1.0306110494848228,Winter,avg,12.869863229750932
2023-02-15 11:30:00,159.0,0.2418965552510746,1.0306110494848228,Winter,avg,12.71244284735143
2023-02-15 12:00:00,159.0,0.24090102663000976,1.030611049484823,Winter,avg,12.660874464780271
2023-02-15 12:30:00,155.0,0.23599674758243464,1.032674334869177,Winter,avg,12.40683281011588
2023-02-15 13:00:00,157.0,0.23424697240095357,1.030611049484823,Winter,avg,12.316194455715161
2023-02-15 13:30:00,153.0,0.2278044677897545,1.032674334869177,Winter,avg,11.982472716855048
2023-02-15 14:00:00,152.0,0.22522667017196776,1.0326743348691767,Winter,avg,11.848942800253695
2023-02-15 14:30:00,150.0,0.22069450127388715,1.031642692177,Winter,avg,11.614176451333119
2023-02-15 15:00:00,158.0,0.23891256225348995,1.0326743348691771,Winter,avg,12.557872010076544
2023-02-15 15:30:00,161.0,0.24739603550535258,1.0306110494848228,Winter,avg,12.99731592452303
2023-02-15 16:00:00,170.0,0.2629144562759714,1.0316426921769997,Winter,avg,13.801170120441082
2023-02-15 16:30:00,172.0,0.271683010965565,1.0316426921769999,Winter,avg,14.255381253362033
2023-02-15 17:00:00,175.0,0.2780836555239734,1.032674334869177,Winter,avg,14.586934641487588
2023-02-15 17:30:00,175.0,0.2906027195347331,1.0316426921769999,Winter,avg,15.235422157244939
2023-02-15 18:00:00,180.0,0.2929838363938452,1.032674334869177,Winter,avg,15.358764010546945
2023-02-15 18:30:00,176.0,0.28324945834413684,1.032674334869177,Winter,avg,14.854523227572054
2023-02-15 19:00:00,175.0,0.26732347127241657,1.0316426921769997,Winter,avg,14.029557097256943
2023-02-15 19:30:00,173.0,0.26381207475970303,1.0316426921769999,Winter,avg,13.847666757898383
2023-02-15 20:00:00,175.0,0.263409967083474,1.031642692177,Winter,avg,13.826837580269716
2023-02-15 20:30:00,175.0,0.2580720853354704,1.030611049484823,Winter,avg,13.55033530572313
2023-02-15 21:00:00,168.0,0.24932671236934628,1.032674334869177,Winter,avg,13.097324986077902
2023-02-15 21:30:00,166.0,0.2467519751109656,1.0316426921769999,Winter,avg,12.963953596093784
2023-02-15 22:00:00,167.0,0.24426989921217923,1.0316426921769999,Winter,avg,12.835382064536649
2023-02-15 22:30:00,160.0,0.23188514217201459,1.0295794067926458,Winter,avg,12.193851649856121
2023-02-15 23:00:00,149.0,0.22550359619421145,1.0306110494848228,Winter,avg,11.863287568205918
2023-02-15 23:30:00,148.0,0.22554420922030538,1.032674334869177,Winter,avg,11.865391322957583
2023-12-23 00:00:00,53.0,0.11330452519555097,1.032674334869177,Winter,top10,6.0513756904753055
2023-12-23 00:30:00,52.0,0.11196816000842894,1.0326743348691767,Winter,top10,5.9821519737823845
2023-12-23 01:00:00,56.0,0.10744407010450126,1.030611049484823,Winter,top10,5.747804116758931
2023-12-23 01:30:00,51.0,0.1017505400177634,1.0295794067926458,Winter,top10,5.452879258265909
2023-12-23 02:00:00,48.0,0.09758677192471908,1.0316426921769999,Winter,top10,5.237196071046214
2023-12-23 02:30:00,48.0,0.09676729628400703,1.0316426921769999,Winter,top10,5.194747232857329
2023-12-23 03:00:00,48.0,0.09119065152950248,1.0306110494848228,Winter,top10,4.905877034573994
2023-12-23 03:30:00,46.0,0.09078462310910458,1.0316426921769999,Winter,top10,4.884844762397383
2023-12-23 04:00:00,51.0,0.10205882030585728,1.0316426921769999,Winter,top10,5.468848177189172
2023-12-23 04:30:00,49.0,0.09456393974524284,1.0316426921769999,Winter,top10,5.080613364149345
2023-12-23 05:00:00,46.0,0.08814870885130952,1.029579406792646,Winter,top10,4.748304403843599
2023-12-23 05:30:00,46.0,0.0888040699736364,1.031642692177,Winter,top10,4.7822521099801305
2023-12-23 06:00:00,47.0,0.08963298616447175,1.0326743348691771,Winter,top10,4.825189968665402
2023-12-23 06:30:00,46.0,0.08996384815701439,1.0316426921769997,Winter,top10,4.842328619879111
2023-12-23 07:00:00,45.0,0.09138212644534902,1.0316426921769999,Winter,top10,4.915795435214845
2023-12-23 07:30:00,47.0,0.09556320625861467,1.032674334869177,Winter,top10,5.132375369542006
2023-12-23 08:00:00,43.0,0.09857901709692717,1.0316426921769999,Winter,top10,5.288594370966592
2023-12-23 08:30:00,44.0,0.10778933136364428,1.030611049484823,Winter,top10,5.76568864998254
2023-12-23 09:00:00,41.0,0.10584166309399161,1.0306110494848228,Winter,top10,5.66479943361453
2023-12-23 09:30:00,38.0,0.10435589301808543,1.030611049484823,Winter,top10,5.587836543682591
2023-12-23 10:00:00,34.0,0.10010774463102688,1.029579406792646,Winter,top10,5.367782457232958
2023-12-23 10:30:00,34.0,0.09481469721226847,1.0316426921769999,Winter,top10,5.0936026009412725
2023-12-23 11:00:00,31.0,0.0899516351487804,1.032674334869177,Winter,top10,4.84169598605259
2023-12-23 11:30:00,31.0,0.0930592633072444,1.0326743348691771,Winter,top10,5.002671124661026
2023-12-23 12:00:00,32.0,0.09248147314816561,1.032674334869177,Winter,top10,4.972741594420744
2023-12-23 12:30:00,34.0,0.09261361931842452,1.0306110494848228,Winter,top10,4.979586766040155
2023-12-23 13:00:00,36.0,0.09721108944889484,1.030611049484823,Winter,top10,5.217735718798518
2023-12-23 13:30:00,38.0,0.09986411263097261,1.031642692177,Winter,top10,5.355162319630147
2023-12-23 14:00:00,35.0,0.09338898536347125,1.0316426921769999,Winter,top10,5.019750727173576
2023-12-23 14:30:00,36.0,0.09960212218662075,1.033705977561354,Winter,top10,5.34159121461272
2023-12-23 15:00:00,39.0,0.11099413597585586,1.0316426921769997,Winter,top10,5.931697528895099
2023-12-23 15:30:00,43.0,0.12348726711131686,1.0316426921769999,Winter,top10,6.578841721711979
2023-12-23 16:00:00,46.0,0.13426686855259148,1.031642692177,Winter,top10,7.1372250763700045
2023-12-23 16:30:00,54.0,0.1506458025270714,1.0316426921769999,Winter,top10,7.985653856248065
2023-12-23 17:00:00,59.0,0.15842703229073588,1.0316426921769999,Winter,top10,8.388721558005884
