datetime,carbon_intensity,custom_electricity_score,custom_electricity_input_kwh_per_kwh,REP_SEASON,REP_KIND,PEM operation
2025-01-02 00:00:00,67.0,0.14279508331572252,1.0326743348691771,Winter,avg,7.906008855788716
2025-01-02 00:30:00,70.0,0.1513778700999013,1.032674334869177,Winter,avg,8.369479342134369
2025-01-02 01:00:00,70.0,0.14629116269539874,1.0316426921769999,Winter,avg,8.094797142291231
2025-01-02 01:30:00,62.0,0.1298787928433557,1.0316426921769999,Winter,avg,7.208529170280908
2025-01-02 02:00:00,57.0,0.1239197201984405,1.0326743348691767,Winter,avg,6.886739247455487
2025-01-02 02:30:00,61.0,0.12988902380623824,1.0337059775613537,Winter,avg,7.209081642276565
2025-01-02 03:00:00,60.0,0.128429592487291,1.032674334869177,Winter,avg,7.130272351053414
2025-01-02 03:30:00,57.0,0.11993792292159478,1.0316426921769999,Winter,avg,6.671722194505818
2025-01-02 04:00:00,63.0,0.128120467979772,1.0316426921769999,Winter,avg,7.113579627647388
2025-01-02 04:30:00,64.0,0.12876868713663056,1.0306110494848228,Winter,avg,7.148583462117751
2025-01-02 05:00:00,67.0,0.14106451834750447,1.0316426921769999,Winter,avg,7.812558347504941
2025-01-02 05:30:00,69.0,0.13843825492808565,1.0316426921769999,Winter,avg,7.670740122856325
2025-01-02 06:00:00,84.0,0.16382759876656763,1.0306110494848228,Winter,avg,9.041764690134352
2025-01-02 06:30:00,107.0,0.19660250399081078,1.0316426921769999,Winter,avg,10.811609572243482
2025-01-02 07:00:00,130.0,0.23565031395292962,1.0316426921769999,Winter,avg,12.920191310197898
2025-01-02 07:30:00,138.0,0.24659660165088718,1.0316426921769999,Winter,avg,13.511290845887606
2025-01-02 08:00:00,136.0,0.24011381136866827,1.032674334869177,Winter,avg,13.161220170647786
2025-01-02 08:30:00,143.0,0.2527970700856072,1.031642692177,Winter,avg,13.846116141362488
2025-01-02 09:00:00,141.0,0.24672161624696864,1.0316426921769999,Winter,avg,13.518041634076006
2025-01-02 09:30:00,134.0,0.23058881061765543,1.032674334869177,Winter,avg,12.646870130093092
2025-01-02 10:00:00,133.0,0.22890690394566987,1.032674334869177,Winter,avg,12.556047169805872
2025-01-02 10:30:00,131.0,0.22665071473055637,1.032674334869177,Winter,avg,12.434212952189743
2025-01-02 11:00:00,129.0,0.2249733849609049,1.0316426921769999,Winter,avg,12.343637144628564
2025-01-02 11:30:00,125.0,0.22029014157352594,1.0306110494848228,Winter,avg,12.0907420017101
2025-01-02 12:00:00,119.0,0.2103843717278819,1.0295794067926458,Winter,avg,11.555830430045322
2025-01-02 12:30:00,121.0,0.21201833302382703,1.029579406792646,Winter,avg,11.64406434002636
2025-01-02 13:00:00,130.0,0.22343799554954064,1.0316426921769997,Winter,avg,12.260726116414894
2025-01-02 13:30:00,132.0,0.2242657892962093,1.0316426921769997,Winter,avg,12.305426978735001
2025-01-02 14:00:00,138.0,0.2352519930677988,1.0316426921769999,Winter,avg,12.898681982400834
2025-01-02 14:30:00,144.0,0.24596181457850919,1.0316426921769999,Winter,avg,13.477012343979196
2025-01-02 15:00:00,149.0,0.2614570980761215,1.031642692177,Winter,avg,14.31375765285026
2025-01-02 15:30:00,153.0,0.26766633188742806,1.031642692177,Winter,avg,14.649056278660813
2025-01-02 16:00:00,153.0,0.26980290712202776,1.030611049484823,Winter,avg,14.764431341329198
2025-01-02 16:30:00,158.0,0.2914036000142313,1.0306110494848228,Winter,avg,15.93086875750819
2025-01-02 17:00:00,158.0,0.29335250178706573,1.0337059775613537,Winter,avg,16.03610945324125
2025-01-02 17:30:00,152.0,0.28000668093889475,1.031642692177,Winter,avg,15.315435127440015
2025-01-02 18:00:00,150.0,0.2663659532774689,1.031642692177,Winter,avg,14.578835833723021
2025-01-02 18:30:00,150.0,0.26146362961131525,1.030611049484823,Winter,avg,14.314110355750723
2025-01-02 19:00:00,149.0,0.25063844735698104,1.031642692177,Winter,avg,13.729550514016676
2025-01-02 19:30:00,145.0,0.23938204728729678,1.0316426921769999,Winter,avg,13.121704910253726
2025-01-02 20:00:00,136.0,0.2312563859670316,1.0316426921769999,Winter,avg,12.682919198959405
2025-01-02 20:30:00,129.0,0.22195465615570953,1.030611049484823,Winter,avg,12.180625789148014
2025-01-02 21:00:00,116.0,0.2036285869363253,1.0306110494848226,Winter,avg,11.191018051301265
2025-01-02 21:30:00,106.0,0.18656527626574343,1.0306110494848228,Winter,avg,10.269599275089844
2025-01-02 22:00:00,95.0,0.17252097562786342,1.0306110494848228,Winter,avg,9.511207040644324
2025-01-02 22:30:00,84.0,0.1544758640018189,1.0326743348691767,Winter,avg,8.536771012837919
2025-01-02 23:00:00,74.0,0.13800324853573925,1.0306110494848228,Winter,avg,7.64724977766962
2025-01-02 23:30:00,65.0,0.12400429671025709,1.0316426921769999,Winter,avg,6.8913063790935825
2025-01-01 00:00:00,51.0,0.09190906504489037,1.0316426921769999,Winter,top10,5.15816386916378
2025-01-01 00:30:00,55.0,0.09882620259713441,1.0306110494848228,Winter,top10,5.5316892969849585
2025-01-01 01:00:00,54.0,0.09819790642073231,1.0306110494848228,Winter,top10,5.497761303459245
2025-01-01 01:30:00,54.0,0.09588933168292307,1.0326743348691771,Winter,top10,5.373098267617546
2025-01-01 02:00:00,53.0,0.09397999990444933,1.0306110494848228,Winter,top10,5.269994351579964
2025-01-01 02:30:00,48.0,0.08845556914455133,1.0326743348691765,Winter,top10,4.971675090545472
2025-01-01 03:00:00,46.0,0.08567824016316036,1.0337059775613537,Winter,top10,4.82169932555036
2025-01-01 03:30:00,45.0,0.08143109393558688,1.0316426921769999,Winter,top10,4.592353429261392
2025-01-01 04:00:00,45.0,0.08582931357799141,1.033705977561354,Winter,top10,4.829857289951236
2025-01-01 04:30:00,45.0,0.08699047549374951,1.030611049484823,Winter,top10,4.892560033402174
2025-01-01 05:00:00,46.0,0.08698510040701224,1.0316426921769999,Winter,top10,4.892269778718361
2025-01-01 05:30:00,44.0,0.08190738393641665,1.032674334869177,Winter,top10,4.6180730893062
2025-01-01 06:00:00,42.0,0.0798059570775139,1.0316426921769997,Winter,top10,4.504596038925451
2025-01-01 06:30:00,42.0,0.07856919270888604,1.030611049484823,Winter,top10,4.437810763019546
2025-01-01 07:00:00,42.0,0.0806423642417838,1.031642692177,Winter,top10,4.549762025796025
2025-01-01 07:30:00,43.0,0.08239607912697292,1.0316426921769999,Winter,top10,4.644462629596237
2025-01-01 08:00:00,43.0,0.0863204906754203,1.0316426921769999,Winter,top10,4.856380853212396
2025-01-01 08:30:00,42.0,0.1013238878948219,1.032674334869177,Winter,top10,5.666564303060082
2025-01-01 09:00:00,37.0,0.08522755846887756,1.0316426921769999,Winter,top10,4.797362514059088
2025-01-01 09:30:00,36.0,0.0911659137975633,1.0326743348691767,Winter,top10,5.118033701808118
2025-01-01 10:00:00,34.0,0.09118694538856506,1.0326743348691767,Winter,top10,5.119169407722214
2025-01-01 10:30:00,38.0,0.10207093472371201,1.0316426921769997,Winter,top10,5.7069048318201485
2025-01-01 11:00:00,32.0,0.08762011349415742,1.0306110494848228,Winter,top10,4.926560485424201
2025-01-01 11:30:00,33.0,0.08907334525699952,1.030611049484823,Winter,top10,5.005035000617674
2025-01-01 12:00:00,35.0,0.09329475366764621,1.0316426921769999,Winter,top10,5.2329910547925955
2025-01-01 12:30:00,38.0,0.0970259265292898,1.031642692177,Winter,top10,5.434474389321349
2025-01-01 13:00:00,38.0,0.09603173693381907,1.0316426921769999,Winter,top10,5.3807881511659295
2025-01-01 13:30:00,42.0,0.10242327619031531,1.0316426921769999,Winter,top10,5.7259312710167265
2025-01-01 14:00:00,41.0,0.10007882153953634,1.0316426921769999,Winter,top10,5.599330719874662
2025-01-01 14:30:00,49.0,0.11111789380570167,1.0326743348691771,Winter,top10,6.19544062224759
2025-01-01 15:00:00,65.0,0.13631936403335446,1.0316426921769999,Winter,top10,7.556320014540841
2025-01-01 15:30:00,73.0,0.15371008920748572,1.032674334869177,Winter,top10,8.495419173943928
2025-01-01 16:00:00,75.0,0.16525898259552668,1.0316426921769999,Winter,top10,9.11905941689814
2025-01-01 16:30:00,84.0,0.1823717869708764,1.032674334869177,Winter,top10,10.043150853167024
2025-01-01 17:00:00,88.0,0.1933676384355146,1.0316426921769999,Winter,top10,10.636926832257489
2025-01-01 17:30:00,89.0,0.19459618043845298,1.031642692177,Winter,top10,10.70326810041616
2025-01-01 18:00:00,90.0,0.19767213099085745,1.0295794067926458,Winter,top10,10.869369430246001
2025-01-01 18:30:00,90.0,0.19038296093370405,1.0306110494848228,Winter,top10,10.475754247159717
2025-01-01 19:00:00,89.0,0.18277639826192038,1.0326743348691767,Winter,top10,10.0649998628834
2025-01-01 19:30:00,88.0,0.17731634135794716,1.031642692177,Winter,top10,9.770156790068846
2025-01-01 20:00:00,88.0,0.1738994817082731,1.0316426921769997,Winter,top10,9.585646368986447
2025-01-01 20:30:00,88.0,0.1716857027851536,1.0316426921769999,Winter,top10,9.466102307137994
2025-01-01 21:00:00,83.0,0.16838006432214853,1.0316426921769999,Winter,top10,9.28759783013572
2025-01-01 21:30:00,79.0,0.16551958431820635,1.0316426921769999,Winter,top10,9.133131909922842
2025-01-01 22:00:00,74.0,0.15340167024750842,1.0316426921769999,Winter,top10,8.478764550105154
2025-01-01 22:30:00,71.0,0.1480470551097882,1.0306110494848228,Winter,top10,8.189615332668263
