datetime,carbon_intensity,SMR,SMR-CCS,AE operation,PEM operation,SOEC operation,MP-E
2023-02-15,160.45833333333334,10.512133718384643,3.120612064562951,13.018656242639828,13.576707134794809,12.206463818977282,5.014047944052683
2023-12-23,46.583333333333336,10.660517387518667,3.127356776750633,6.031134623240536,6.292418080643593,6.500437496141626,3.6259862016574522
2023-02-07,248.04166666666666,10.366410419041554,3.1139882782740393,19.880898634626373,20.730396220221554,17.810186834823934,6.377223136944343
2023-04-03,158.3125,10.505720555227848,3.120320557148709,13.320657914847708,13.891535137486326,12.453079083304244,5.074040168787608
2023-03-24,52.479166666666664,10.652085490178774,3.1269735086923243,6.428200319883015,6.706347577448553,6.82468226279064,3.7048627665895424
2023-05-02,215.54166666666666,10.397647059320072,3.11540812554981,18.40993690051249,19.196961185239548,16.60899607908651,6.08501857302825
2023-07-06,141.75,10.524376064855351,3.121168534853306,12.442153038914629,12.975719230167824,11.735689968843863,4.89952636042887
2023-07-03,66.8125,10.637452126675672,3.126308355810325,7.117298685216458,7.424712679303282,7.387401582427417,3.8417512271577237
2023-08-31,212.39583333333334,10.414325665145615,3.1161662439912905,17.624526218410164,18.378193280641174,15.967627898719094,5.92899780067485
2023-10-15,113.89583333333333,10.553062957953163,3.1224724845307374,11.091261213121257,11.567453599525674,10.632548578070875,4.631173521806897
2023-09-19,57.5625,10.645722083300438,3.1266842629270872,6.7278589237905075,7.018732999250404,7.069384172121881,3.764389543967775
2023-09-09,199.375,10.430424130808836,3.1168979924255718,16.86643486295723,17.58790498339406,15.348568743707778,5.77840397570215
