datetime,lca_mode,electrolyser_tech,scenario,wind_power_kw,grid_carbon_intensity_gco2_per_kwh,electricity_source,wind_fraction,grid_fraction,wind_used_kw,grid_topup_kw,surplus_wind_kw,wind_above_minimum,gwp100_kgco2e_per_kg_h2,electricity_exchanges_swapped,direct_electricity_kwh_per_kg_h2,wind_electricity_kwh_per_kg_h2,grid_electricity_kwh_per_kg_h2,temporary_grid_activity_code,error,minimum_required_wind_kw
2023-01-15 06:30:00,switching,PEM operation,PEM operation (switching),917.472,66.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 06:30:00,switching,SOEC operation,SOEC operation (switching),917.472,66.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 07:00:00,switching,AE operation,AE operation (switching),894.301,60.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 07:00:00,switching,PEM operation,PEM operation (switching),894.301,60.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 07:00:00,switching,SOEC operation,SOEC operation (switching),894.301,60.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 07:30:00,switching,AE operation,AE operation (switching),894.301,68.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 07:30:00,switching,PEM operation,PEM operation (switching),894.301,68.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 07:30:00,switching,SOEC operation,SOEC operation (switching),894.301,68.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 08:00:00,switching,AE operation,AE operation (switching),861.516,69.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 08:00:00,switching,PEM operation,PEM operation (switching),861.516,69.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 08:00:00,switching,SOEC operation,SOEC operation (switching),861.516,69.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 08:30:00,switching,AE operation,AE operation (switching),861.516,74.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 08:30:00,switching,PEM operation,PEM operation (switching),861.516,74.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 08:30:00,switching,SOEC operation,SOEC operation (switching),861.516,74.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 09:00:00,switching,AE operation,AE operation (switching),800.255,63.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 09:00:00,switching,PEM operation,PEM operation (switching),800.255,63.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 09:00:00,switching,SOEC operation,SOEC operation (switching),800.255,63.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 09:30:00,switching,AE operation,AE operation (switching),800.255,62.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 09:30:00,switching,PEM operation,PEM operation (switching),800.255,62.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 09:30:00,switching,SOEC operation,SOEC operation (switching),800.255,62.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 10:00:00,switching,AE operation,AE operation (switching),720.387,59.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 10:00:00,switching,PEM operation,PEM operation (switching),720.387,59.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 10:00:00,switching,SOEC operation,SOEC operation (switching),720.387,59.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 10:30:00,switching,AE operation,AE operation (switching),720.387,66.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 10:30:00,switching,PEM operation,PEM operation (switching),720.387,66.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 10:30:00,switching,SOEC operation,SOEC operation (switching),720.387,66.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 11:00:00,switching,AE operation,AE operation (switching),686.065,67.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 11:00:00,switching,PEM operation,PEM operation (switching),686.065,67.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
