asset,technology,scenario,build_year,capex_GBP_per_kWe,efficiency_pct,capex_GBP_per_kW_H2_HHV,fixed_opex_pct_capex,fixed_opex_GBP_per_kW_H2_HHV_year,variable_opex_GBP_per_kWh_H2_HHV,plant_lifetime_years,source,is_proxy,notes
electrolyser,Alkaline,low,2025,700,70.0,1000.0000000000001,0.03,30.000000000000004,0.0,20.0,Proxy: literature-informed low/central/high scenario assumption,True,Fallback used because the NESO electrolyser CAPEX/OPEX resource was unavailable or empty at run time. Values should be sensitivity-tested.
electrolyser,Alkaline,central,2025,1200,70.0,1714.2857142857144,0.03,51.42857142857143,0.0,20.0,Proxy: literature-informed low/central/high scenario assumption,True,Fallback used because the NESO electrolyser CAPEX/OPEX resource was unavailable or empty at run time. Values should be sensitivity-tested.
electrolyser,Alkaline,high,2025,1700,70.0,2428.571428571429,0.03,72.85714285714286,0.0,20.0,Proxy: literature-informed low/central/high scenario assumption,True,Fallback used because the NESO electrolyser CAPEX/OPEX resource was unavailable or empty at run time. Values should be sensitivity-tested.
electrolyser,PEM,low,2025,850,67.0,1268.6567164179103,0.04,50.74626865671641,0.0,20.0,Proxy: literature-informed low/central/high scenario assumption,True,Fallback used because the NESO electrolyser CAPEX/OPEX resource was unavailable or empty at run time. Values should be sensitivity-tested.
electrolyser,PEM,central,2025,1450,67.0,2164.179104477612,0.04,86.56716417910448,0.0,20.0,Proxy: literature-informed low/central/high scenario assumption,True,Fallback used because the NESO electrolyser CAPEX/OPEX resource was unavailable or empty at run time. Values should be sensitivity-tested.
electrolyser,PEM,high,2025,2100,67.0,3134.3283582089553,0.04,125.37313432835822,0.0,20.0,Proxy: literature-informed low/central/high scenario assumption,True,Fallback used because the NESO electrolyser CAPEX/OPEX resource was unavailable or empty at run time. Values should be sensitivity-tested.
electrolyser,SOEC,low,2025,1500,80.0,1875.0,0.04,75.0,0.0,20.0,Proxy: literature-informed low/central/high scenario assumption,True,Fallback used because the NESO electrolyser CAPEX/OPEX resource was unavailable or empty at run time. Values should be sensitivity-tested.
electrolyser,SOEC,central,2025,2500,80.0,3125.0,0.04,125.0,0.0,20.0,Proxy: literature-informed low/central/high scenario assumption,True,Fallback used because the NESO electrolyser CAPEX/OPEX resource was unavailable or empty at run time. Values should be sensitivity-tested.
electrolyser,SOEC,high,2025,3500,80.0,4375.0,0.04,175.0,0.0,20.0,Proxy: literature-informed low/central/high scenario assumption,True,Fallback used because the NESO electrolyser CAPEX/OPEX resource was unavailable or empty at run time. Values should be sensitivity-tested.
