,value
wind_gwh,152.8972001
direct_gwh,57.551838999999994
fuel_cell_gwh,4.710230236031944
grid_gwh,1.7735307639680558
curtailed_gwh,79.00939032950873
h2_stored_t,302.5179772313197
kt_co2e,4.366999944886164
g_co2e_per_kwh,68.19643986916908
